Plant_ID,Date,Water_Consumption_m3,Steam_Usage_Ton,Power_Usage_MWh,Waste_Treated_m3,Boiler_Temperature_C,Turbine_Efficiency_%,Chiller_Utilization_%,CO2_Emissions_Ton,pH_Level_Water,Conductivity_uS,Cooling_Tower_Efficiency_%,Energy_Cost_USD,Maintenance_Cost_USD,Downtime_Minutes,Alarm_Count,Recycle_Water_Used_m3,External_Water_Use_m3,Ambient_Temperature_C,Humidity_%,Water_Leakage_m3,Efficiency_Index,Operator_ID
PLT004,2023-08-05 15:00:00,534.86,186.65,1205.47,270.41,437.57,86.24,78.02,50.58,7.2,377.57,74.08,11985.88,525.28,34,7.0,89.38,415.6,33.74,48.49,4.17,83.96,OP1003
PLT003,2023-08-05 16:00:00,514.36,177.55,1092.5,340.0,450.12,82.65,88.11,49.51,6.89,460.46,64.34,11421.24,460.75,29,4.0,110.39,347.9,25.98,47.55,6.37,87.78,OP1004
PLT003,2023-08-05 17:00:00,497.95,207.8,1209.57,284.95,478.73,84.92,76.07,31.22,7.0,480.38,68.98,12183.16,410.0,6,9.0,91.2,388.0,33.18,52.34,4.68,88.0,OP1002
PLT001,2023-08-05 18:00:00,535.07,185.94,1008.56,256.21,463.9,88.72,54.55,41.01,7.23,404.01,78.79,11587.16,466.46,54,1.0,82.31,406.87,37.56,42.75,2.73,91.12,OP1001
PLT005,2023-08-05 19:00:00,453.48,216.14,1226.86,247.84,448.64,76.52,83.01,55.04,6.75,380.73,61.89,8765.38,685.71,84,8.0,63.57,409.36,31.08,50.92,3.1,95.23,OP1004
PLT003,2023-08-05 20:00:00,566.72,175.55,1071.51,291.55,461.09,86.38,84.41,47.52,6.87,529.99,71.57,13967.05,452.14,0,8.0,116.03,384.96,38.41,52.13,3.28,97.13,OP1003
PLT001,2023-08-05 21:00:00,507.16,217.27,897.51,331.16,465.61,84.75,89.98,39.89,7.2,476.64,55.43,12894.2,705.49,38,,99.21,379.77,32.44,53.81,2.32,85.26,OP1001
PLT004,2023-08-05 22:00:00,574.75,204.3,904.77,269.37,440.68,83.16,78.7,35.73,6.74,539.98,88.87,12701.98,536.8,96,2.0,95.62,260.62,30.28,49.8,5.36,90.51,OP1001
PLT003,2023-08-05 23:00:00,493.88,204.3,970.33,319.5,443.81,85.66,70.33,32.65,7.19,545.55,69.94,12311.31,561.0,39,0.0,112.63,361.3,29.58,58.13,1.92,98.26,OP1002
PLT005,2023-08-06 00:00:00,507.13,204.88,969.14,278.67,461.29,84.36,69.18,40.38,7.57,442.6,60.81,13124.64,480.82,50,5.0,87.96,464.73,31.79,50.95,3.3,94.34,OP1001
PLT003,2023-08-06 01:00:00,513.19,198.38,1034.02,282.55,438.63,88.37,74.35,55.27,7.58,572.26,63.62,11994.5,448.29,31,3.0,106.77,352.59,36.37,41.16,4.11,88.01,OP1002
PLT004,2023-08-06 02:00:00,528.8,198.72,1175.85,254.74,460.51,89.2,82.58,51.95,6.64,421.86,70.59,12615.8,458.91,73,5.0,93.36,343.36,39.2,49.06,5.36,95.39,OP1002
PLT003,2023-08-06 03:00:00,590.54,194.6,1032.37,324.25,465.75,86.3,83.56,53.39,7.12,429.74,78.45,13449.07,536.68,94,1.0,96.52,430.18,34.87,55.86,5.28,79.58,OP1004
PLT005,2023-08-06 04:00:00,478.1,205.98,899.34,283.08,445.35,81.41,65.71,26.96,7.39,690.85,72.63,10727.02,560.85,39,6.0,88.29,321.75,46.51,50.76,7.16,91.03,OP1002
PLT001,2023-08-06 05:00:00,493.6,211.03,1043.84,308.28,444.72,84.3,73.09,47.38,7.07,661.04,77.01,9803.28,472.93,111,0.0,96.89,427.25,41.27,73.37,4.61,93.19,OP1002
PLT005,2023-08-06 06:00:00,499.04,190.95,959.78,298.17,442.63,75.15,86.99,51.81,7.05,508.01,64.62,13204.5,696.49,2,0.0,111.22,379.93,33.68,38.09,3.13,87.91,OP1004
PLT001,2023-08-06 07:00:00,384.23,227.76,964.97,293.4,463.83,87.87,78.06,62.13,7.22,357.7,57.8,13369.23,495.77,79,9.0,82.18,404.19,38.44,53.28,2.27,96.76,OP1003
PLT002,2023-08-06 08:00:00,472.25,192.68,981.38,301.38,470.26,86.04,70.65,41.79,7.01,664.48,70.98,12306.42,565.49,75,8.0,145.61,432.4,37.81,51.86,5.65,88.68,OP1002
PLT005,2023-08-06 09:00:00,475.51,185.95,963.28,317.13,453.62,85.7,63.42,38.84,7.36,329.93,73.55,9340.74,512.03,80,5.0,105.51,420.57,35.51,53.01,7.01,90.59,OP1002
PLT005,2023-08-06 10:00:00,631.91,196.97,870.46,328.53,437.72,82.39,63.74,66.99,6.49,715.49,68.7,10463.27,493.36,24,7.0,88.47,367.2,30.56,48.57,8.45,88.44,OP1001
PLT004,2023-08-06 11:00:00,512.92,184.68,1009.56,273.98,441.69,93.29,62.75,55.29,6.47,477.77,71.91,13208.59,399.88,33,9.0,118.24,280.28,42.6,48.63,6.36,97.09,OP1003
PLT003,2023-08-06 12:00:00,524.67,209.33,1174.08,272.59,455.18,93.12,69.52,48.82,7.21,384.73,73.19,14532.67,462.87,69,9.0,81.63,414.48,34.8,58.05,4.66,81.99,OP1003
PLT001,2023-08-06 13:00:00,426.57,197.17,1080.06,362.83,417.22,89.77,78.13,75.04,7.06,425.22,66.42,12346.82,632.42,16,5.0,104.52,479.86,42.86,58.44,7.75,84.17,OP1003
PLT001,2023-08-06 14:00:00,496.86,214.67,881.08,297.07,424.56,80.17,64.88,51.67,7.23,363.46,68.84,10795.64,327.04,110,2.0,80.7,394.93,41.85,42.97,5.5,89.53,OP1004
PLT004,2023-08-06 15:00:00,546.8,198.78,746.88,315.51,443.17,82.69,75.52,41.62,7.07,404.07,70.4,9820.79,631.33,7,0.0,88.66,437.47,28.2,50.62,4.43,89.51,OP1002
PLT004,2023-08-06 16:00:00,625.83,198.13,1033.01,273.84,471.91,89.15,77.14,66.18,6.95,587.97,74.04,12163.59,695.46,65,7.0,73.73,278.9,31.26,51.83,5.11,91.58,OP1004
PLT003,2023-08-06 17:00:00,465.79,191.84,1057.81,267.61,441.18,84.16,85.77,37.15,6.7,549.06,71.06,12085.56,402.52,111,0.0,106.39,407.93,37.74,42.06,2.28,93.71,OP1001
PLT003,2023-08-06 18:00:00,409.22,216.54,1057.58,278.38,422.29,91.05,87.19,43.94,7.0,502.92,65.76,14387.3,517.19,75,4.0,87.48,377.46,34.59,28.91,5.49,83.88,OP1002
PLT005,2023-08-06 19:00:00,461.23,195.13,1011.28,288.25,458.43,77.53,78.34,34.67,7.28,546.38,72.51,9909.98,409.89,1,1.0,70.27,412.47,30.17,60.72,4.18,98.47,OP1001
PLT002,2023-08-06 20:00:00,461.43,205.29,896.44,305.01,473.87,75.75,81.04,36.17,6.73,513.99,73.8,12366.08,541.82,35,8.0,97.7,366.63,28.67,61.93,5.09,95.0,OP1002
PLT003,2023-08-06 21:00:00,461.9,220.92,,365.33,450.66,93.06,72.07,57.15,7.12,660.22,69.69,12215.16,595.49,51,0.0,111.74,371.96,34.58,56.86,3.89,97.57,OP1003
PLT004,2023-08-06 22:00:00,545.38,198.24,987.45,314.57,436.65,92.62,78.73,45.03,6.53,362.61,66.47,10943.57,653.28,79,2.0,61.66,332.05,43.39,43.62,7.8,93.74,OP1004
PLT003,2023-08-06 23:00:00,517.14,198.0,948.06,271.66,441.2,82.42,70.56,50.47,6.89,552.87,75.06,13699.87,566.56,56,9.0,108.1,417.69,35.02,76.76,3.81,81.63,OP1004
PLT001,2023-08-07 00:00:00,443.58,195.39,1049.4,291.27,433.52,90.78,67.13,55.55,7.56,445.26,67.36,13754.15,448.02,83,4.0,95.87,377.55,38.47,41.86,5.25,91.23,OP1003
PLT002,2023-08-07 01:00:00,570.81,203.8,949.53,275.18,491.5,89.22,72.55,67.7,6.92,525.3,80.46,7547.62,337.54,91,4.0,87.68,372.09,27.55,46.08,4.87,89.1,OP1003
PLT005,2023-08-07 02:00:00,594.65,216.14,886.72,243.17,436.13,87.05,92.16,55.91,7.03,532.59,63.82,14447.18,448.94,29,6.0,88.98,386.46,30.24,49.46,7.39,85.78,OP1003
PLT001,2023-08-07 03:00:00,414.75,215.55,951.3,298.72,453.18,89.85,82.15,45.43,6.64,481.98,81.7,8911.13,432.71,35,3.0,38.93,425.94,31.69,32.37,3.82,84.17,OP1003
PLT001,2023-08-07 04:00:00,558.88,209.83,1024.23,262.63,444.82,80.17,76.86,58.38,6.71,431.13,64.9,10030.34,449.29,101,5.0,141.83,442.38,31.84,41.79,5.8,88.66,OP1002
PLT002,2023-08-07 05:00:00,491.49,224.2,1130.9,321.4,466.95,80.85,51.78,47.25,6.86,495.32,67.98,13027.75,549.37,76,6.0,88.54,383.71,33.13,58.49,5.91,89.09,OP1004
PLT005,2023-08-07 06:00:00,452.9,201.65,819.57,291.38,448.58,84.33,63.99,47.74,7.54,582.72,62.92,14484.55,368.71,74,6.0,80.72,486.65,35.63,41.34,6.31,90.54,OP1002
PLT004,2023-08-07 07:00:00,427.24,228.09,1042.4,305.64,439.94,89.03,63.4,62.95,7.19,416.84,47.35,10564.23,500.96,63,5.0,74.62,433.85,32.58,53.86,5.34,86.4,OP1001
PLT005,2023-08-07 08:00:00,477.36,221.0,1084.09,285.55,479.44,87.44,65.82,41.15,6.89,445.25,70.0,11496.13,621.42,13,7.0,106.82,399.17,30.34,54.92,3.82,92.61,OP1002
PLT003,2023-08-07 09:00:00,473.91,186.93,1040.7,322.19,437.59,84.18,74.52,49.78,7.03,364.79,64.57,14414.15,407.66,75,1.0,104.6,302.67,42.89,45.26,8.69,97.83,OP1002
PLT001,2023-08-07 10:00:00,507.37,215.75,1063.52,345.2,457.0,83.37,69.47,37.11,6.54,432.01,60.41,12808.15,507.31,69,4.0,97.24,467.75,34.04,63.38,4.68,92.74,OP1001
PLT003,2023-08-07 11:00:00,607.3,162.87,1141.35,269.43,443.27,86.42,88.94,48.12,7.47,525.01,74.36,10167.16,289.3,99,3.0,112.39,345.95,33.07,59.03,2.49,94.82,OP1001
PLT004,2023-08-07 12:00:00,474.6,224.04,1094.22,301.73,440.97,88.85,72.81,28.93,7.19,688.28,58.39,14203.85,500.05,82,8.0,75.68,425.0,46.43,52.8,7.1,83.86,OP1003
PLT003,2023-08-07 13:00:00,429.67,198.57,960.3,336.83,431.08,90.72,74.0,43.67,7.11,707.64,75.66,11001.18,352.47,54,6.0,101.75,445.08,30.93,37.24,4.93,82.82,OP1004
PLT005,2023-08-07 14:00:00,483.49,184.46,1095.65,359.8,441.45,77.22,83.03,43.16,7.23,449.57,75.84,8963.46,576.83,116,0.0,82.26,399.8,40.22,30.76,5.71,93.52,OP1002
PLT003,2023-08-07 15:00:00,552.1,165.05,1016.23,324.56,453.02,80.4,74.39,46.89,7.5,394.09,67.65,13081.75,384.65,6,2.0,117.51,464.06,41.11,42.83,6.08,85.38,OP1001
PLT004,2023-08-07 16:00:00,487.62,197.3,1078.42,303.86,432.3,82.72,86.57,,6.89,571.17,72.29,11930.46,519.4,52,6.0,120.62,406.87,36.12,57.01,3.29,95.54,OP1004
PLT004,2023-08-07 17:00:00,532.57,224.31,875.07,313.69,463.47,90.95,70.56,64.16,6.64,434.71,71.12,9611.54,278.08,80,6.0,125.62,281.94,32.97,39.08,4.43,91.92,OP1001
PLT004,2023-08-07 18:00:00,508.5,204.85,982.54,275.55,452.71,84.18,82.77,,6.84,229.59,71.61,14171.86,358.85,102,,81.94,358.13,41.29,30.31,2.77,100.89,OP1003
PLT005,2023-08-07 19:00:00,503.06,192.08,1060.34,267.03,432.13,74.49,72.87,52.92,6.91,401.83,57.49,11177.33,411.03,53,8.0,105.34,421.84,36.28,66.72,8.91,97.75,OP1004
PLT004,2023-08-07 20:00:00,579.36,196.2,987.31,296.25,452.67,86.59,64.37,45.37,7.4,411.47,73.08,12196.49,602.96,29,4.0,72.65,396.29,31.96,41.52,2.79,92.53,OP1004
PLT001,2023-08-07 21:00:00,451.59,226.6,1053.26,301.41,456.44,81.25,65.77,71.33,6.87,720.76,75.95,12985.59,491.28,67,4.0,74.88,485.61,25.8,41.13,3.55,90.63,OP1003
PLT004,2023-08-07 22:00:00,447.97,213.98,1134.26,293.05,457.19,81.68,75.74,70.56,6.77,700.23,80.11,11126.51,345.62,58,8.0,123.74,418.34,29.77,57.46,7.62,90.5,OP1002
PLT003,2023-08-07 23:00:00,454.56,199.17,972.7,306.14,449.24,77.52,89.0,46.78,7.4,436.98,78.16,8980.51,385.04,54,9.0,110.3,359.95,38.55,48.98,2.79,96.96,OP1002
PLT003,2023-08-08 00:00:00,517.27,218.69,1088.49,297.36,459.99,83.54,70.07,30.73,6.9,472.97,69.29,14627.69,629.13,24,9.0,54.91,389.62,35.99,44.77,2.97,91.02,OP1002
PLT003,2023-08-08 01:00:00,502.67,215.87,897.17,338.92,442.04,80.98,64.39,59.54,7.45,661.08,75.88,11029.71,315.99,8,8.0,127.35,432.67,31.06,51.01,5.36,89.03,OP1003
PLT005,2023-08-08 02:00:00,535.51,182.22,1075.93,319.57,443.01,76.78,65.8,57.89,6.77,550.16,71.97,14013.76,560.76,91,5.0,73.09,368.37,36.15,41.68,5.74,84.01,OP1002
PLT003,2023-08-08 03:00:00,496.2,193.08,836.75,250.85,441.43,90.6,62.01,68.05,6.6,562.73,62.16,13065.88,456.42,3,4.0,115.65,495.47,29.1,52.84,4.84,87.94,OP1004
PLT005,2023-08-08 04:00:00,490.22,228.39,1019.69,286.02,435.67,84.89,71.66,45.63,6.46,507.67,67.62,11456.07,534.42,40,9.0,87.46,373.93,28.14,58.8,2.74,89.83,OP1001
PLT005,2023-08-08 05:00:00,516.46,213.52,1016.5,294.34,449.38,85.83,69.84,55.0,6.92,418.24,71.98,11554.47,392.18,11,2.0,128.12,445.94,30.52,37.7,5.44,95.39,OP1003
PLT004,2023-08-08 06:00:00,584.82,235.45,1172.09,346.86,464.85,77.01,64.96,52.54,7.31,362.04,68.98,10591.69,429.66,9,5.0,96.41,384.63,41.2,30.01,5.08,85.99,OP1003
PLT001,2023-08-08 07:00:00,441.89,211.98,951.43,285.59,431.72,82.18,73.32,35.07,7.05,404.44,73.72,11210.17,277.64,43,8.0,106.04,359.99,34.51,40.84,2.53,88.23,OP1001
PLT004,2023-08-08 08:00:00,453.99,185.8,800.43,323.45,485.87,87.4,67.89,45.77,6.74,491.79,77.28,14432.13,672.55,43,3.0,108.28,352.62,39.81,50.4,5.91,93.12,OP1003
PLT004,2023-08-08 09:00:00,502.05,199.58,1052.49,254.6,429.09,74.17,75.19,40.53,7.06,581.44,59.63,14149.23,448.67,106,7.0,112.77,414.63,29.03,58.45,2.24,89.24,OP1002
PLT005,2023-08-08 10:00:00,601.62,215.75,898.76,287.2,456.15,86.47,80.18,31.62,6.7,685.37,55.86,13685.24,576.0,59,4.0,120.37,371.87,33.59,46.73,7.07,96.21,OP1002
PLT005,2023-08-08 11:00:00,446.42,199.82,1006.06,321.78,472.25,87.48,70.04,47.63,6.6,612.11,85.58,12152.29,377.87,72,4.0,89.04,363.43,35.09,48.77,6.16,94.97,OP1004
PLT003,2023-08-08 12:00:00,499.5,201.21,934.0,323.31,486.99,86.9,83.9,48.13,6.81,549.37,74.21,10942.69,519.59,108,5.0,96.37,443.96,39.56,62.46,7.91,102.96,OP1001
PLT003,2023-08-08 13:00:00,456.13,240.7,979.38,346.5,461.04,86.51,80.39,47.49,7.39,407.52,65.11,11752.23,575.44,81,6.0,48.12,347.62,38.71,66.87,5.78,84.21,OP1002
PLT004,2023-08-08 14:00:00,519.91,195.26,785.32,318.65,464.2,83.16,74.32,54.98,7.05,432.53,81.98,10666.96,431.19,37,3.0,75.43,385.04,35.17,39.77,3.3,90.25,OP1004
PLT002,2023-08-08 15:00:00,396.79,,827.0,326.15,446.56,80.42,73.45,51.56,7.02,570.34,72.07,11727.86,486.99,64,0.0,66.5,357.16,37.8,64.58,3.71,84.15,OP1003
PLT002,2023-08-08 16:00:00,448.19,205.21,1038.19,290.36,461.79,75.08,82.89,53.31,7.25,426.99,68.13,12909.02,515.88,102,0.0,73.01,398.28,33.06,42.28,4.68,97.68,OP1004
PLT003,2023-08-08 17:00:00,563.92,218.26,985.49,306.82,450.62,92.12,63.22,39.22,6.82,498.17,74.63,13393.64,465.39,83,5.0,102.36,360.62,39.9,49.09,7.23,86.56,OP1003
PLT002,2023-08-08 18:00:00,500.47,205.21,,317.57,446.75,86.04,79.78,38.76,6.2,397.59,66.81,13024.99,454.17,103,6.0,48.98,408.1,31.11,65.83,9.73,100.27,OP1003
PLT003,2023-08-08 19:00:00,462.73,202.59,944.77,331.6,447.77,78.16,89.62,45.36,7.59,538.05,56.14,13704.68,418.63,108,6.0,62.19,503.05,45.15,53.42,3.77,83.59,OP1003
PLT005,2023-08-08 20:00:00,497.71,240.31,1049.08,288.25,449.94,84.51,62.67,,7.19,513.8,76.46,14659.33,497.35,13,6.0,88.48,328.36,27.33,58.62,3.56,91.6,OP1003
PLT004,2023-08-08 21:00:00,496.84,197.95,972.23,301.58,454.78,82.58,54.78,43.96,7.29,608.75,74.32,13995.6,499.85,9,9.0,121.43,373.61,27.54,52.04,5.99,89.39,OP1001
PLT001,2023-08-08 22:00:00,528.04,214.66,1043.46,309.59,426.45,87.83,53.33,49.01,7.06,365.82,72.75,11890.93,493.84,44,1.0,86.15,355.8,39.49,66.24,0.61,87.46,OP1003
PLT004,2023-08-08 23:00:00,396.21,174.26,912.42,327.86,467.17,83.68,63.79,60.98,6.98,352.17,54.5,11085.5,393.56,99,2.0,87.43,381.06,29.01,59.96,7.7,92.74,OP1004
PLT003,2023-08-09 00:00:00,448.17,200.04,1054.86,312.7,450.11,79.82,79.22,47.25,7.3,586.74,83.87,12723.59,533.11,3,1.0,120.86,321.14,46.99,56.49,3.24,89.31,OP1003
PLT003,2023-08-09 01:00:00,452.26,198.07,976.1,268.72,432.47,91.11,71.82,35.93,7.44,327.23,69.34,12785.14,396.72,91,4.0,115.58,339.93,44.22,73.94,5.17,91.76,OP1004
PLT004,2023-08-09 02:00:00,531.47,198.56,1038.19,317.81,457.25,86.38,73.93,44.72,6.87,578.85,59.61,11319.23,407.15,62,5.0,97.43,392.87,40.51,54.95,6.14,85.55,OP1002
PLT003,2023-08-09 03:00:00,499.68,165.59,1029.17,356.47,464.96,92.79,68.05,56.35,6.67,430.31,75.85,10667.47,444.23,108,1.0,124.35,414.67,30.86,40.53,1.04,86.51,OP1001
PLT002,2023-08-09 04:00:00,572.03,192.91,959.61,261.25,433.24,82.31,59.24,29.87,7.04,464.69,78.61,10263.43,545.3,65,1.0,101.93,468.72,45.31,50.19,2.9,94.13,OP1001
PLT002,2023-08-09 05:00:00,541.46,182.63,964.49,358.88,460.85,90.85,71.04,,6.98,557.2,68.2,14424.25,553.93,9,3.0,93.45,480.62,28.99,40.57,2.24,92.86,OP1001
PLT003,2023-08-09 06:00:00,482.7,221.73,984.85,288.15,441.25,82.98,72.17,43.65,7.15,302.7,70.09,12950.92,502.67,39,5.0,93.68,364.25,30.69,65.01,6.42,87.13,OP1002
PLT003,2023-08-09 07:00:00,497.52,182.7,1068.29,276.83,450.49,82.91,89.2,62.75,6.89,557.85,70.3,9832.41,432.56,78,5.0,120.56,465.38,32.3,42.6,4.02,86.66,OP1001
PLT002,2023-08-09 08:00:00,564.69,212.56,1172.77,285.17,451.61,83.51,82.1,52.9,7.5,738.88,81.08,11372.82,444.9,20,2.0,122.6,322.79,40.03,47.39,7.76,90.83,OP1004
PLT003,2023-08-09 09:00:00,571.66,213.51,921.1,297.76,446.82,87.52,62.86,38.21,6.58,576.24,78.43,9762.7,491.63,108,2.0,155.47,485.65,37.78,49.02,7.28,86.67,OP1001
PLT003,2023-08-09 10:00:00,495.22,188.09,1096.68,299.33,443.26,85.42,70.27,65.2,7.28,473.64,68.44,12574.16,472.58,118,9.0,157.87,443.68,40.17,44.2,2.28,96.45,OP1001
PLT004,2023-08-09 11:00:00,450.75,182.99,973.57,303.11,455.35,86.46,66.1,53.81,6.87,444.59,62.5,10204.19,390.84,76,3.0,58.87,402.15,39.35,41.85,6.12,94.34,OP1001
PLT001,2023-08-09 12:00:00,394.96,194.35,989.62,247.03,430.19,76.66,63.26,33.96,7.13,547.72,62.25,13723.94,372.47,49,2.0,93.39,399.85,28.19,63.11,3.93,84.58,OP1004
PLT002,2023-08-09 13:00:00,394.94,192.04,1028.44,316.61,444.77,81.0,83.17,48.49,6.64,507.82,72.93,10693.47,405.01,26,0.0,102.78,391.2,36.97,45.62,8.14,100.72,OP1001
PLT004,2023-08-09 14:00:00,523.6,180.33,954.72,345.61,421.51,91.44,64.52,58.56,7.13,519.7,73.28,12127.65,443.21,87,5.0,76.66,304.7,40.23,54.94,4.19,97.11,OP1004
PLT001,2023-08-09 15:00:00,522.6,194.08,964.13,251.94,439.71,91.21,89.65,45.77,7.53,373.16,65.3,12254.17,295.49,0,9.0,106.27,461.43,31.33,63.87,6.12,97.75,OP1002
PLT003,2023-08-09 16:00:00,466.23,206.24,1187.11,306.44,433.86,78.81,69.2,56.34,6.83,640.56,78.23,14434.91,440.95,119,5.0,78.65,377.32,26.23,38.09,4.49,93.92,OP1002
PLT003,2023-08-09 17:00:00,565.07,176.18,1008.43,266.64,440.48,89.02,67.85,36.86,6.63,766.32,62.14,10696.99,493.39,1,4.0,94.27,380.68,31.69,54.41,7.04,86.82,OP1004
PLT004,2023-08-09 18:00:00,489.65,196.1,1049.57,264.81,449.82,84.52,66.53,28.56,6.95,439.04,61.64,10825.44,423.36,46,1.0,119.59,376.09,38.73,53.32,6.15,97.01,OP1002
PLT003,2023-08-09 19:00:00,470.58,189.5,1181.98,327.53,457.59,83.31,66.25,63.31,7.44,596.97,50.76,10740.51,219.78,42,4.0,97.8,399.4,29.22,63.61,7.22,92.84,OP1001
PLT005,2023-08-09 20:00:00,558.56,201.87,1178.89,359.65,477.45,79.88,56.64,53.69,6.81,450.34,84.55,13176.94,623.05,71,8.0,82.2,426.78,36.06,57.09,5.53,94.77,OP1002
PLT004,2023-08-09 21:00:00,551.93,237.69,982.36,299.04,453.93,75.52,75.21,48.7,6.94,514.55,73.93,11612.03,388.76,49,3.0,121.56,342.97,34.55,42.09,5.53,82.58,OP1002
PLT001,2023-08-09 22:00:00,497.42,169.69,922.43,324.48,426.23,79.53,88.29,57.39,6.98,446.02,70.16,11906.95,479.04,109,4.0,92.63,510.89,28.6,28.71,3.25,85.01,OP1004
PLT004,2023-08-09 23:00:00,525.88,197.88,892.57,226.54,440.06,84.23,91.06,40.52,6.96,384.21,59.06,11605.97,586.49,40,9.0,106.45,395.72,32.07,47.25,7.3,92.03,OP1003
PLT002,2023-08-10 00:00:00,532.19,205.59,882.34,269.26,435.53,84.72,65.19,48.79,7.25,456.13,71.24,13049.38,503.03,119,3.0,101.62,442.61,21.8,39.61,4.39,88.28,OP1004
PLT004,2023-08-10 01:00:00,608.76,189.8,957.25,260.3,430.24,89.66,67.65,43.43,7.29,371.68,64.94,13228.39,444.77,56,7.0,104.96,473.61,27.51,42.42,6.63,97.39,OP1004
PLT003,2023-08-10 02:00:00,493.45,,889.83,334.18,468.19,86.01,87.12,66.71,7.29,583.09,62.75,11640.03,580.74,79,8.0,74.28,387.99,29.31,48.79,5.78,88.64,OP1002
PLT003,2023-08-10 03:00:00,441.01,170.81,993.6,336.92,454.22,80.03,74.28,60.81,6.89,379.13,70.49,14869.23,498.12,74,8.0,82.95,366.73,25.03,53.29,2.32,92.33,OP1002
PLT005,2023-08-10 04:00:00,531.27,193.0,928.34,330.53,457.29,79.61,67.94,66.56,7.33,471.71,67.73,13167.32,359.31,85,9.0,117.81,364.82,29.54,56.46,2.96,87.6,OP1002
PLT005,2023-08-10 05:00:00,503.11,146.64,966.31,313.24,427.66,90.52,76.47,49.32,6.64,605.88,76.12,11535.93,397.76,26,1.0,116.27,380.47,27.7,41.82,7.78,93.03,OP1001
PLT005,2023-08-10 06:00:00,505.62,195.14,990.03,259.76,453.85,88.52,85.68,50.75,6.69,303.04,61.11,13301.1,434.77,108,9.0,151.54,424.84,43.55,46.29,4.68,91.29,OP1003
PLT001,2023-08-10 07:00:00,498.44,175.35,968.03,270.39,460.66,83.86,83.74,28.29,7.04,440.99,64.51,14913.95,658.22,51,6.0,106.32,386.94,35.31,62.96,3.09,79.09,OP1002
PLT005,2023-08-10 08:00:00,420.43,206.26,894.82,374.71,451.92,87.64,84.56,46.37,6.93,654.62,66.75,11131.85,467.6,0,1.0,103.82,427.58,40.05,77.5,2.06,86.1,OP1003
PLT001,2023-08-10 09:00:00,513.07,228.28,1035.52,260.5,444.21,89.21,74.89,31.61,6.92,377.1,62.31,11917.11,433.28,31,3.0,97.36,379.78,43.8,52.85,3.84,80.7,OP1002
PLT005,2023-08-10 10:00:00,482.04,205.51,1123.07,262.27,469.93,76.11,81.33,55.6,6.88,387.73,69.72,12237.91,507.27,34,2.0,94.88,352.8,31.79,47.33,3.43,89.51,OP1003
PLT001,2023-08-10 11:00:00,484.55,198.51,1120.68,295.42,467.08,80.93,67.5,37.96,7.24,634.52,70.67,11384.48,467.35,77,2.0,80.4,443.42,39.32,55.56,3.92,88.66,OP1001
PLT004,2023-08-10 12:00:00,480.09,189.6,1085.73,334.73,447.91,81.53,89.75,46.94,6.64,673.61,55.41,9756.62,356.35,72,2.0,117.16,435.14,33.67,52.53,0.92,86.58,OP1004
PLT004,2023-08-10 13:00:00,498.04,194.4,972.77,348.35,454.31,79.29,59.35,61.07,7.24,452.2,77.72,14412.29,513.19,100,5.0,79.48,392.55,35.22,47.9,1.62,99.51,OP1004
PLT003,2023-08-10 14:00:00,513.02,194.7,936.83,313.47,448.15,82.17,80.26,49.91,6.55,299.6,76.9,11708.13,412.16,113,8.0,87.67,539.09,27.81,41.37,3.82,88.24,OP1003
PLT001,2023-08-10 15:00:00,498.53,200.32,1070.55,308.8,426.13,87.2,57.15,46.91,7.05,548.35,65.81,9411.15,464.93,55,2.0,80.08,412.59,31.82,65.03,3.91,85.6,OP1002
PLT002,2023-08-10 16:00:00,557.74,209.54,1032.71,299.21,433.9,82.14,68.34,46.61,7.14,526.45,69.33,12139.06,496.48,5,5.0,92.34,339.92,40.32,60.6,0.46,91.68,OP1004
PLT003,2023-08-10 17:00:00,537.81,184.64,1070.55,290.23,432.5,89.74,68.88,41.64,6.39,630.55,80.85,11683.88,381.01,21,0.0,95.22,392.97,41.41,65.31,2.98,88.88,OP1004
PLT004,2023-08-10 18:00:00,496.34,222.95,1184.69,312.54,461.86,82.74,70.29,48.34,6.73,477.16,74.07,11042.02,499.32,22,3.0,90.55,410.46,38.41,51.41,5.17,93.07,OP1002
PLT001,2023-08-10 19:00:00,448.23,195.7,997.78,291.14,432.53,85.0,50.72,44.3,7.24,497.39,66.7,11606.37,604.67,87,3.0,86.85,387.67,36.81,47.95,4.05,89.63,OP1001
PLT005,2023-08-10 20:00:00,529.03,200.29,924.32,361.31,442.95,81.11,74.71,57.64,7.46,656.81,67.62,9290.97,574.21,60,6.0,54.13,436.65,33.73,56.38,2.22,95.7,OP1002
PLT002,2023-08-10 21:00:00,484.25,225.72,947.14,258.45,454.12,83.49,69.76,35.27,7.4,401.34,62.11,10123.51,432.15,24,8.0,113.41,334.04,28.87,45.81,6.59,83.34,OP1002
PLT004,2023-08-10 22:00:00,491.46,157.43,1014.05,261.08,440.29,82.59,71.41,46.2,7.39,591.04,73.47,9304.82,560.98,42,8.0,103.15,336.03,37.64,43.28,4.39,94.99,OP1001
PLT003,2023-08-10 23:00:00,434.07,149.09,942.84,295.36,462.51,83.96,58.14,60.5,6.18,644.06,70.26,11634.77,588.68,92,2.0,121.98,327.75,33.34,69.24,4.89,91.5,OP1003
